"term","nss.1987","nss.1988","nss.1990","nss.1991","nss.1993","nss.1994","nss.1995","nss.1996","nss.1997","nss.1998","nss.1999","nss.2001","nss.2002","nss.2006","nss.2010","nss.2015","termc"
"ancillari",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,""
"andean",0,0,1,4,1,0,0,0,0,1,1,1,1,0,0,0,"andean"
"andor",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,"andor"
"andr",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"andres"
"anew",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"anew"
"anger",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"anger"
"angola",1,5,2,1,2,1,3,3,1,2,0,2,0,0,0,0,"angola"
"angolan",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"angolan"
"angri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"anim",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"animal"
"annal",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"annals"
"annan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"annan"
"annapoli",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"annapolis"
"annihil",0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,"annihilation"
"anniversari",0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,""
"announc",1,0,1,2,0,0,4,8,0,10,6,8,0,0,0,0,"announced"
"annual",2,7,1,2,0,1,2,4,3,3,3,2,1,2,1,1,"annual"
"anoth",2,7,8,4,2,4,9,12,4,2,3,9,1,2,3,2,"another"
"ansf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"ansf"
"answer",1,0,1,1,0,2,3,3,1,0,1,2,1,0,1,1,"answer"
"antagon",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"antagonism"
"anthrax",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"anthrax"
"anti",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"anti"
"antiaccess",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"antiaccess"
"antiaircraft",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"antiaircraft"
"antiamerican",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"antiamerican"
